Cluster,Confidence
1,0.92944217
0,0.95572615
2,0.9179088
0,0.954954
1,0.92686105
0,0.9555793
0,0.95555395
2,0.9602858
2,0.85848236
1,0.5961315
0,0.9555431
2,0.92467415
2,0.9472768
1,0.9309422
0,0.95578116
1,0.93335116
0,0.95582235
2,0.9537398
1,0.9329743
2,0.9605854
1,0.9330714
0,0.95510817
1,0.9332933
0,0.9558124
0,0.95575917
0,0.95576364
1,0.9328605
1,0.9332121
0,0.9557851
0,0.95563996
2,0.93886244
1,0.8863142
1,0.9330914
0,0.95573205
1,0.9151682
1,0.9228235
1,0.92657155
2,0.9603641
0,0.95573705
0,0.9557563
0,0.955779
0,0.95559263
2,0.96049094
0,0.9554245
0,0.95579064
1,0.93332094
0,0.9558175
2,0.96055746
0,0.95501184
1,0.8705448
0,0.9556927
0,0.95577264
0,0.95574576
1,0.9333763
2,0.933149
1,0.93312186
0,0.95561594
0,0.95582634
0,0.9557188
2,0.9602109
1,0.93196625
0,0.9555236
1,0.9315217
2,0.9589332
2,0.94461495
0,0.95578456
2,0.9335855
0,0.95581585
1,0.929847
0,0.95581454
1,0.93298
0,0.95578325
0,0.95582265
1,0.927708
2,0.9305748
2,0.66540784
0,0.95560634
2,0.8603841
1,0.9329967
0,0.955557
2,0.9605749
0,0.955532
0,0.9552937
0,0.9558171
0,0.9558122
0,0.9553469
1,0.9330263
1,0.9330382
1,0.9327594
1,0.93201816
2,0.9553516
0,0.9557652
1,0.93220824
2,0.9588353
1,0.9330469
1,0.9332342
0,0.95572466
1,0.90355265
1,0.9290199
1,0.9333296
1,0.9177186
1,0.9327747
0,0.9556738
0,0.95570344
0,0.95531577
1,0.9321926
0,0.95577544
1,0.9328646
0,0.9558224
0,0.9557728
0,0.95556486
0,0.9557961
0,0.955689
0,0.95541495
0,0.9556609
0,0.95572317
0,0.9555345
1,0.93338674
2,0.9314257
0,0.9558236
2,0.5137873
0,0.95581937
0,0.9553203
1,0.930013
2,0.9600336
0,0.9496652
0,0.9558265
0,0.9558167
0,0.955677
2,0.91933006
1,0.92806023
2,0.9590409
0,0.9552135
0,0.9558026
1,0.9331902
0,0.9555357
2,0.77038914
1,0.93325377
0,0.955503
2,0.93715215
1,0.89564514
0,0.9556134
0,0.95538026
0,0.9557315
0,0.95557344
0,0.955746
0,0.95555544
2,0.5771585
0,0.9558205
2,0.9448184
0,0.9557797
2,0.9526474
0,0.9558107
1,0.9283699
1,0.9332289
2,0.8875961
1,0.9330165
0,0.9557285
2,0.9284702
0,0.9556653
1,0.93302566
0,0.9554608
2,0.5653673
1,0.93336815
2,0.9604367
2,0.9489727
0,0.9557805
0,0.9557799
0,0.95581144
0,0.95570064
0,0.9553725
1,0.9039689
1,0.9332004
1,0.9332005
1,0.90483505
2,0.95556414
0,0.9557585
2,0.94803107
1,0.7054666
2,0.7792202
1,0.93278986
0,0.9557517
0,0.95582604
0,0.95513433
1,0.9295703
0,0.9557505
0,0.9556949
0,0.9557265
1,0.932386
1,0.84696555
1,0.93247974
1,0.93085665
0,0.95581406
0,0.95576483
0,0.9554186
0,0.9556612
1,0.93330777
2,0.92726904
0,0.9558107
1,0.9317884
0,0.9557921
1,0.92913115
1,0.9319903
0,0.95529854
1,0.93091667
1,0.93213224
0,0.86602557
1,0.93307483
2,0.9510758
0,0.9555709
2,0.95705616
1,0.9332517
0,0.9557159
0,0.9556717
0,0.9556509
1,0.93330175
0,0.9555304
1,0.9333579
2,0.93199
0,0.95573294
0,0.95542413
0,0.95567834
0,0.94605654
1,0.8349516
0,0.9557855
0,0.9557832
1,0.9333678
1,0.9326338
0,0.9557886
1,0.9312742
2,0.9137595
0,0.95576197
0,0.9558028
0,0.9558104
2,0.953961
1,0.922266
1,0.9332772
1,0.916822
0,0.9558209
2,0.9422976
0,0.9555844
1,0.9301783
1,0.9314036
2,0.8968587
1,0.9329946
0,0.95581245
0,0.9557941
0,0.9556726
0,0.95582193
0,0.9557963
0,0.9557698
0,0.95570093
0,0.95580554
0,0.955671
0,0.95581734
0,0.95579445
0,0.953978
0,0.95581836
0,0.95579314
1,0.92350376
0,0.9555516
1,0.9209819
2,0.8928145
1,0.9318949
1,0.6902651
2,0.9164982
0,0.95572627
1,0.9303825
2,0.9300971
0,0.95571566
0,0.9554187
1,0.9329035
0,0.9557664
1,0.93336064
2,0.8306861
2,0.959358
0,0.9557661
0,0.95580155
1,0.8864137
2,0.910729
2,0.94265586
0,0.9558097
2,0.9153641
0,0.9558276
2,0.8756289
0,0.9556154
0,0.95538163
0,0.95561653
0,0.95582575
1,0.9333555
1,0.79308444
2,0.95576036
1,0.92580736
0,0.95566636
1,0.93150467
1,0.9331285
0,0.9557676
0,0.9555386
2,0.9600387
0,0.95582163
1,0.93318605
0,0.9558094
0,0.955782
1,0.9326936
0,0.9556534
0,0.95574856
2,0.96010953
0,0.95541084
0,0.9557062
1,0.93253905
0,0.95578367
1,0.93199724
1,0.93333703
2,0.94778734
2,0.9514432
2,0.94809157
0,0.9558245
0,0.9555544
1,0.93316203
2,0.9602716
1,0.9321857
0,0.95568824
0,0.9558141
2,0.9601019
0,0.9553177
0,0.95580363
2,0.9600556
2,0.95682687
1,0.93276054
1,0.93156236
1,0.92931664
0,0.9546198
1,0.9333888
1,0.9143169
1,0.93331623
0,0.9557178
0,0.95582384
2,0.7835107
1,0.9332642
1,0.93262976
1,0.9273543
0,0.9555417
2,0.9529867
2,0.7664293
1,0.93106365
0,0.955823
1,0.93272305
2,0.9515491
0,0.95536697
1,0.9086183
0,0.95568615
0,0.95582765
1,0.9320255
1,0.93027663
2,0.69167346
1,0.9300464
2,0.9421357
1,0.7801322
1,0.8559514
0,0.95579994
1,0.9256512
1,0.93337446
1,0.93338513
1,0.922397
1,0.57193613
0,0.9558289
1,0.9331882
1,0.9322787
1,0.9333093
1,0.93149084
0,0.95577556
0,0.95580024
1,0.93270314
1,0.919519
1,0.9322779
0,0.955776
1,0.93092066
2,0.9566344
0,0.9557392
0,0.95582455
0,0.95144635
2,0.95258963
0,0.95579106
0,0.9557881
0,0.9558262
1,0.85907495
1,0.61002934
0,0.9558268
2,0.94898987
1,0.93071675
0,0.9557389
2,0.949409
0,0.9556536
1,0.86915356
0,0.95512843
1,0.92786175
1,0.93191725
0,0.95557594
0,0.9558125
0,0.95575094
1,0.93201697
0,0.95581937
0,0.9557836
0,0.95582664
2,0.9603968
0,0.95581585
1,0.93263537
0,0.9557974
0,0.9558133
2,0.9558638
1,0.92910403
0,0.9557941
1,0.9273376
1,0.90336895
2,0.9308686
0,0.9558279
1,0.9180365
1,0.9241337
0,0.9555985
1,0.6104659
0,0.9556237
2,0.9602774
0,0.9557215
0,0.9557013
1,0.9315505
0,0.9556854
1,0.9333569
1,0.933388
0,0.9556131
0,0.95580137
1,0.93031436
0,0.95570946
0,0.9555461
0,0.95541817
2,0.93293107
0,0.91244286
1,0.93211395
0,0.95572
0,0.9557505
1,0.9281046
0,0.9556991
1,0.93253225
0,0.9557889
2,0.7133179
0,0.95582527
0,0.9558109
0,0.9550693
0,0.8922193
1,0.9329387
1,0.93310314
0,0.955647
2,0.8990021
0,0.95559156
0,0.95578694
2,0.9453691
0,0.9556403
2,0.9305789
0,0.95577997
1,0.92709893
1,0.9333325
2,0.94639766
1,0.92966187
1,0.9261287
1,0.7337025
2,0.93016815
1,0.9255722
0,0.9558061
0,0.95581645
0,0.95578927
0,0.95571226
2,0.9281458
0,0.95578563
1,0.93037033
0,0.95572066
2,0.95908535
0,0.95572686
2,0.9545809
0,0.95554394
2,0.9567659
2,0.957276
1,0.9333265
2,0.94255286
2,0.91132647
0,0.95558476
1,0.93316424
0,0.9557749
1,0.93319327
2,0.959933
0,0.9557533
1,0.9328833
2,0.9454936
0,0.9558258
0,0.9557421
0,0.95582885
0,0.9553596
2,0.94328225
1,0.93295187
0,0.95582163
1,0.9320367
2,0.9570229
1,0.9055477
2,0.95566094
0,0.95575774
0,0.95574236
0,0.95559585
2,0.9536049
1,0.93207675
2,0.9472518
1,0.9255181
0,0.9556088
0,0.9554723
0,0.8444892
1,0.905355
0,0.9557679
0,0.9557388
0,0.95562303
1,0.5156311
1,0.88774014
0,0.9557934
1,0.93149585
0,0.9558092
1,0.93286335
0,0.95571285
2,0.91715
1,0.9329674
0,0.9544336
1,0.93305606
1,0.9329952
0,0.9557246
0,0.95563364
2,0.9477747
0,0.95582855
0,0.95563525
2,0.64910704
2,0.9416763
0,0.95546985
2,0.9604522
0,0.9555122
1,0.9322718
1,0.931799
2,0.9581488
0,0.955703
2,0.95801973
1,0.93291664
0,0.9557792
0,0.9556917
1,0.9319053
0,0.9557794
0,0.9555035
0,0.9557332
2,0.91774875
0,0.9556933
2,0.89256626
1,0.93320554
2,0.9535351
2,0.9459284
0,0.9555509
0,0.9557551
1,0.932833
2,0.9577202
1,0.93091065
1,0.93244314
1,0.93194175
1,0.8991449
0,0.9558181
0,0.95570594
1,0.74483854
2,0.9521503
0,0.9557826
2,0.9605785
2,0.9604943
1,0.93317026
2,0.9401669
2,0.9053187
2,0.9482967
0,0.95575136
0,0.9557567
1,0.9326284
0,0.95578635
2,0.9104462
0,0.95574415
2,0.95115215
0,0.9557761
0,0.95582575
2,0.9511724
0,0.9557717
2,0.7898092
0,0.955702
0,0.9557817
1,0.93247235
1,0.93327236
0,0.9557253
0,0.9558237
0,0.9555898
0,0.48568016
2,0.89501727
1,0.9316519
1,0.9292207
2,0.8989593
1,0.931709
0,0.9555951
1,0.9298175
1,0.93224764
0,0.9557449
0,0.95554096
0,0.9557572
0,0.9556879
1,0.8498417
1,0.9262054
2,0.9474112
1,0.9205604
2,0.9602627
2,0.95786947
1,0.9325249
1,0.93223405
1,0.92926174
1,0.9118681
0,0.95579475
0,0.9557329
0,0.9557752
0,0.95565635
0,0.9553738
1,0.9321616
0,0.955712
2,0.95804185
2,0.95931697
0,0.95579386
1,0.9326204
1,0.92446804
1,0.9318843
2,0.9555923
2,0.858707
1,0.9331617
0,0.9557946
0,0.9552216
1,0.9321306
1,0.9333633
1,0.9306751
0,0.9556292
0,0.9554868
0,0.9558268
0,0.9556542
0,0.9557465
2,0.9220226
1,0.9333721
0,0.95573765
0,0.95582074
1,0.9324914
1,0.9330934
2,0.771723
1,0.9070052
0,0.9556709
0,0.9549173
1,0.6860119
2,0.7297998
0,0.95543
1,0.9332727
0,0.9556915
1,0.93334913
2,0.8721516
0,0.95545346
2,0.95243555
1,0.93281126
0,0.95573
1,0.9316816
1,0.93131995
1,0.93322515
1,0.93322647
0,0.9557935
0,0.9556509
1,0.9170446
2,0.87647533
0,0.9558069
0,0.9556359
1,0.9331296
2,0.9522683
0,0.95558316
2,0.95659137
0,0.95576835
1,0.9322356
1,0.9332625
0,0.95566577
0,0.9489278
0,0.955704
0,0.9474199
0,0.95574236
1,0.929471
1,0.48676237
2,0.89915574
0,0.95575035
0,0.95575416
0,0.9558171
0,0.95579934
0,0.9557971
0,0.9558237
0,0.95571834
1,0.9318422
0,0.95581913
0,0.9552454
0,0.9556649
1,0.9286963
1,0.93329895
2,0.9587641
0,0.9556936
1,0.9322215
0,0.9552463
2,0.95837146
0,0.955586
1,0.9114562
2,0.9324605
0,0.9558028
0,0.9556479
2,0.9349236
0,0.9558134
1,0.92099905
0,0.95475954
0,0.9552141
1,0.93326914
1,0.66104543
0,0.9555838
0,0.9556906
0,0.9556953
0,0.9557588
0,0.9295076
0,0.9553098
0,0.95581794
0,0.9556577
0,0.9557917
0,0.95581436
0,0.95574534
0,0.9557701
1,0.93131167
0,0.95554996
0,0.91153413
2,0.9348429
1,0.78324693
1,0.93325806
0,0.9553108
1,0.93332696
0,0.95582235
0,0.9557901
0,0.9554248
1,0.93270403
0,0.95581794
1,0.9332736
1,0.9321515
1,0.9328555
1,0.9312474
0,0.9557403
2,0.7465982
1,0.93311477
1,0.9330771
2,0.9394411
2,0.9569148
0,0.95572364
2,0.95911235
2,0.9065218
2,0.901806
0,0.9555845
2,0.93336517
1,0.8251786
0,0.95581955
0,0.95582837
1,0.91711503
0,0.9556046
1,0.75981563
1,0.93324286
0,0.95573556
0,0.9552325
2,0.9596891
1,0.9243472
0,0.9556528
1,0.8246865
2,0.956473
0,0.9554177
1,0.93333715
1,0.91554
1,0.93231356
1,0.79445237
0,0.9558258
0,0.95390934
1,0.89698803
1,0.93333155
1,0.90047234
0,0.9557152
0,0.9543397
0,0.95515674
0,0.8048155
2,0.91109717
1,0.93304217
1,0.8967847
1,0.9257561
2,0.9549669
0,0.9557871
0,0.95543325
0,0.9555654
0,0.9555827
1,0.9288979
1,0.93255967
0,0.95538
0,0.9557346
1,0.9333816
0,0.9557088
1,0.9333419
2,0.9562206
0,0.9556317
0,0.95581615
0,0.9554686
0,0.9558159
0,0.9556188
2,0.9556659
2,0.9605387
0,0.9557339
2,0.9344709
0,0.955681
0,0.9550467
0,0.9556949
1,0.9326871
0,0.95581007
2,0.96045655
0,0.9558197
2,0.94934267
1,0.93310934
1,0.7645985
0,0.9558128
1,0.9331891
0,0.9557218
1,0.92811203
0,0.95579004
0,0.95580137
0,0.95572716
0,0.9556963
0,0.9557486
0,0.95581794
2,0.9002102
2,0.9025795
0,0.9557993
1,0.93226606
2,0.94827294
1,0.93090874
1,0.93338525
1,0.9333907
0,0.95548016
0,0.9558168
1,0.93154144
0,0.95579183
0,0.9558209
1,0.93218046
0,0.955805
1,0.93309
0,0.95575607
0,0.95577586
1,0.9330715
1,0.9217444
2,0.67085314
1,0.9328612
0,0.95561004
1,0.93080395
1,0.9333318
0,0.9557887
0,0.95582604
0,0.9556413
2,0.7576932
1,0.928754
1,0.7747514
1,0.93080693
1,0.9304855
0,0.9555759
1,0.9326582
2,0.7872805
0,0.95578015
0,0.955542
0,0.9558248
1,0.9330654
1,0.9323361
0,0.95581305
0,0.8968653
2,0.95777285
2,0.50451714
0,0.9557845
0,0.9557903
1,0.93295413
2,0.92934746
1,0.9331897
1,0.70961696
2,0.89995533
2,0.88997144
0,0.95569575
0,0.9558231
2,0.9494286
0,0.9557526
2,0.9574291
0,0.9557325
1,0.91875154
1,0.9333845
0,0.95566016
0,0.9558258
0,0.9557478
0,0.9556917
2,0.7305123
0,0.9557701
0,0.9557713
0,0.95581126
1,0.92845213
0,0.9558102
0,0.9555937
1,0.930926
2,0.9523903
1,0.9315539
0,0.95571166
1,0.9283987
1,0.9273888
1,0.9327425
0,0.9556368
1,0.8324179
0,0.95558923
0,0.9557734
0,0.95569944
1,0.8776823
1,0.933179
1,0.9236455
0,0.9554115
0,0.9557992
2,0.95981663
2,0.95272064
1,0.9331204
2,0.95681036
1,0.9329826
0,0.95578176
0,0.955824
1,0.90746987
2,0.95879287
0,0.95578027
1,0.9305088
0,0.95566696
0,0.9558132
0,0.95455927
1,0.9267468
2,0.9359683
0,0.95580715
0,0.95582557
1,0.9333086
0,0.9556498
0,0.955697
0,0.9558055
0,0.95556325
1,0.9326163
1,0.92874926
0,0.9557812
0,0.95582795
1,0.9265204
1,0.9260913
0,0.955824
2,0.7507391
0,0.95530504
