Latent_1,Latent_2,Cluster
-2.6566484,-0.07419635,0
7.3551044,4.5034413,2
-2.5441535,-0.041986123,0
2.1405642,2.2727501,1
2.357027,1.9811527,1
2.3325937,1.7951527,1
-2.5928345,-0.06135626,0
6.2893624,3.9685206,2
-2.5916235,0.05786805,0
2.1332088,2.2855039,1
-2.5619824,-0.07131292,0
-2.646747,0.0026469082,0
7.0488863,4.3703027,2
5.88474,3.7865508,2
4.0635953,3.129557,1
-2.566973,-0.12230612,0
8.219029,4.9190288,2
6.626423,4.1626334,2
1.9651582,1.8781221,1
-2.60515,-0.08140458,0
2.1267512,1.9821566,1
-2.6457508,-0.09166135,0
6.799557,4.1722074,2
2.1883903,2.0169928,1
7.094924,4.455277,2
2.1022553,1.8963093,1
-2.5121922,-0.047546282,0
2.1006513,1.9751173,1
-2.6203363,-0.08684309,0
-2.66974,-0.10947479,0
-2.5994127,-0.082332686,0
2.060282,2.010477,1
2.0962505,1.9944204,1
-2.6086924,-0.06831564,0
-2.7005007,-0.04646291,0
7.834491,4.9626904,2
1.4565722,1.507249,1
2.16434,2.0197403,1
-2.6163547,-0.036727622,0
2.5301154,2.2997406,1
2.4566314,2.1900635,1
1.823381,2.0354097,1
7.0412526,4.399636,2
-2.6777356,-0.10987295,0
-2.6823611,-0.08516796,0
-2.6088114,-0.0627927,0
-2.5675266,-0.055917755,0
7.1169844,4.4951997,2
-2.7238357,-0.13827343,0
-2.6130803,-0.09604974,0
2.1034222,1.9605557,1
-2.6566541,-0.07818206,0
7.079692,4.421594,2
-2.6094356,0.058254644,0
1.3099895,1.5176326,1
-2.6045864,-0.03370358,0
-2.6759737,-0.090627745,0
-2.6846983,-0.089480534,0
2.1373377,1.9737992,1
7.956133,5.0186524,2
2.1898906,1.9905463,1
-2.702973,-0.11824836,0
-2.6384385,-0.088290945,0
-2.5926983,-0.057298377,0
7.2155585,4.4135127,2
1.9903682,1.9654675,1
-2.5535243,-0.08749445,0
2.29574,2.0035532,1
7.3126974,4.5363874,2
7.721756,4.872739,2
-2.65248,-0.111018315,0
6.4852285,3.9860945,2
-2.6573393,-0.084619656,0
1.9637581,1.808562,1
-2.6257312,-0.066718355,0
2.2148297,1.9499732,1
-2.6060336,-0.07683261,0
-2.6520598,-0.08322276,0
2.423107,2.005411,1
6.5000763,3.9027815,2
5.1152077,3.4619024,2
-2.7147596,-0.08886863,0
5.892679,3.795868,2
2.1167963,1.8809189,1
-2.558345,-0.08728959,0
7.115303,4.4089355,2
-2.5671337,-0.035450473,0
-2.7486088,-0.12559737,0
-2.6410239,-0.062512115,0
-2.6505675,-0.062326923,0
-2.7360704,-0.13692011,0
2.067445,1.9326066,1
2.2065535,1.9739114,1
2.1071458,1.8622271,1
2.1708608,2.101172,1
7.489703,4.5904236,2
-2.6748269,-0.099628225,0
2.024975,1.8875443,1
7.3406153,4.459597,2
2.1129615,2.0298452,1
2.1806417,1.9760942,1
-2.6909459,-0.08569957,0
2.7341633,2.2479181,1
2.3013158,1.742951,1
2.1423957,1.9886334,1
2.5709643,2.1642153,1
2.2171323,2.00778,1
-2.6945283,-0.11098017,0
-2.6873255,-0.049579933,0
-2.5282855,-0.087326065,0
2.2520573,1.8804635,1
-2.6044748,-0.07029809,0
2.10367,2.04563,1
-2.6287153,-0.08710779,0
-2.6023612,-0.08282675,0
-2.5654979,-0.049193874,0
-2.6364963,-0.10868628,0
-2.586256,-0.1049694,0
-2.5405486,-0.064847484,0
-2.5824578,-0.050690785,0
-2.668061,-0.12347318,0
-2.7100918,-0.1312839,0
2.1362572,1.9674362,1
6.3777466,4.123832,2
-2.6415207,-0.09171952,0
4.7353864,3.105309,2
-2.6244519,-0.08375616,0
-2.5434515,-0.02487041,0
1.9846706,1.793111,1
7.0382614,4.339006,2
-2.2698357,-0.13286765,0
-2.6475253,-0.08250435,0
-2.622287,-0.07658197,0
-2.5809712,-0.06283839,0
8.209135,5.161237,2
2.4116933,2.014533,1
7.324049,4.4773464,2
-2.7502458,-0.14209272,0
-2.656275,-0.06006755,0
2.1576016,1.9035519,1
-2.6059487,-0.0019253641,0
5.5349817,3.5192943,2
2.1089892,1.9971912,1
-2.7265692,-0.10944636,0
6.4717035,4.101572,2
2.858783,2.1588595,1
-2.6946204,-0.13011773,0
-2.6339266,0.025391564,0
-2.6879206,-0.06752689,0
-2.71956,-0.093885794,0
-2.6032333,-0.05293663,0
-2.7157357,-0.115494266,0
4.843905,3.3436193,2
-2.6372063,-0.09460522,0
6.557376,4.199789,2
-2.6732206,-0.09126462,0
7.1291924,4.9286957,2
-2.6248333,-0.06441231,0
2.4100847,1.9091264,1
2.089524,1.977308,1
6.0867968,3.8124175,2
2.210442,1.9657182,1
-2.6630633,-0.035311535,0
8.069375,5.032406,2
-2.693559,-0.04438086,0
2.187692,2.010567,1
-2.5613153,-0.02692224,0
4.8266344,3.2924309,2
2.1517627,1.9684287,1
7.0442867,4.4387527,2
7.6506243,4.7593513,2
-2.669148,-0.06090243,0
-2.6063442,-0.09084858,0
-2.6304376,-0.061034635,0
-2.6063135,-0.03453912,0
-2.541642,-0.042011157,0
2.7340093,2.2374573,1
2.0960236,1.9226236,1
2.1801355,1.9231194,1
1.6125466,1.5922352,1
7.4251094,4.6838026,2
-2.6083858,-0.05213733,0
6.6395235,4.1696663,2
0.58765507,1.1396651,1
5.547774,3.5755825,2
2.1695096,1.8629596,1
-2.5989456,-0.063949004,0
-2.6420548,-0.07128008,0
-2.598204,0.043562397,0
1.8997382,1.9398934,1
